,"Ходимни бошқа лавозимга ўтказиш бўйича қўшимча келишув тизимга киритилди лекин бошқа лавозимга ўтмаяпти, ""Сўров юборилган"" деган ёзув чиқиб турипти, нима қилиш керак?",,,,
,"Ходимни адашиб бошқа лавозимга ўтказиб қўйдик, ўзгартириш керак.",,,,
,"Иккита ходимни лавозими бир бирига/ўзаро алмашаяпти, уларни қандай алмаштириш/ротация қилиш мумкин?",,,,
,Таътилларни тизимда шакллантириш керакми ва қайси таътилларни?,,,,
,"Ходим ҳомиладорлик/бола парвариш таътилига чиқди (декрет), тизимга қандай киритилади?",,,,
,"Ходимни таътилдан қайтаришда муаммо/хатолик бор, қайтариб бўлмаяпти.",,,,
,,,,,
,,,,,
,"Ходимни аввалги ишлаган жойлари киритилди ва тасдиқлаш учун аввалги ташкилотига сўров юборилди, лекин ҳали тасдиқланмаяпти",Аввалги меҳнат фаолиятига оид масалалар,,,
,Киритилган даврлари қанча муддатда тасдиқланади?,,,,
,"Ходимни аввалги ишлаган ташкилотига тасдиқлаш учун сўров юборилган, лекин у ташкилотда маълумотлар кўринмаяпти экан.",,,,
,"Ходимни аввалги давлари киритилган лекин тасдиқланмаган, тасдиқлаш учун нима қилиш керак?",,,,
,Ходимни меҳнат дафтарига мувофиқ аввалги иш жойини қўшиш тартиби қандай?,,,,
,Ходимни меҳнат дафтарига мувофиқ аввалги иш жойини қўшишга ким масъул?,,,,
,Ходимни меҳнат дафтарига мувофиқ аввалги иш жойини қўшишда совет даври/мустақилликдан олдинги ташкилотлари топилмаяпти,,,,
,"Ходимни меҳнат дафтарига мувофиқ аввалги иш жойини қўшишда ташкилот СТИР/ИНН си сўраяпти, биз уларни билмаймиз, қандай киритиш мумкин?",,,,
,"Ходимни меҳнат дафтарига мувофиқ аввалги иш жойини қўшишда ташкилот ташкилот номи чиқмаяпти, нима қилиш керак?",,,,
,"Ходим чет элда ишлаган, у даври қандай киритилади?",,,,
,"Ишлаб турган ходим аввал бизни ташкилотда ишлаб бўшаб кетган, уша даврини қандай киритиш мумкин?",,,,
,,,,,
,"Ташкилотимиз бошқа ташкилотга қўшилаяпти, ходимларни қандай бошқа ташкилотга ўтказиш мумкин? ",Ташкилотнинг қайта ташкил этилиши бўйича,,,
,,,,,
,"Ходим ишдан бўшади, тизимда шартномасини бекор қилишни билмаяпмиз. ",Шартномани бекор қилиш ҳолатлари,,,
,"Ходимни меҳнат шартномаси тизимда бекор қилинди, лекин бош саҳифадан фамилияси ўчмаяпти.",,,,
,,,,,
,"Тизимга киришда ""Сизда ЭРИ калити топилмади"" ёзуви чиқаяпти, лекин ЭРИ калит компютерда сақланган.",Тизимдаги носозликлар,,,
,"Компютерда Е-ИМЗО модули юкланган, лекин сайтга киришда яна юклаб олинг деган хабар чиқаяпти, нима қилиш керак?",,,,
,"Тизимга киришда 629-код чикаяпти, ОКЭД кодида хатолик, сайтга киролмаяпмиз, нима қилиш керак?",,,,
,"ЭРИ калит билан имзолашда ЭРИ калитимиз чиқмаяпти/кўринмаяпти, нима қилиш керак?",,,,
,,,,,
,"Ходимни битирган институти бўйича диплом маълумотлари кўринмаяпти, кимга мурожаат қилиш керак?",Диплом маълумотлари бўйича саволлар,,,
,"Чет эллик ходим ўзини давлатида институтни битирган, дипломи қандай қиритилади?",,,,
,"Ходим чет эл институтни битирган, дипломини ким киритади?",,,,
,,,,,
,"Ходимни меҳнат шартномасини бекор қилинаяпти, унга огоҳлантириш бериш керакми тизимда? ",Ишдан бўшаш бўйича огоҳлантириш бериш ҳолатлари,,,
,"Ишдан бўшаш бўйича огоҳлантириш нотўғри киритилди, уни қандай ўчириш мумкин?",,,,
,,,,,
,Ходимнинг қариндошлари тўғрисида маълумотни киритиш шартми?,Ходимнинг қариндошларини қўшиш масаласи,,,
,"Ходимнинг фарзандлари хали паспорт олмаган, уларни қандай киритиш керак?",,,,
,,,,,
,Филиалимиз кадрига тизимга кириш учун алоҳида доступ бериш мумкинми? Бош офис ЭРИ калити уларга берилмаган.,Ташкилот филиаллари/бошқармаларига доступ бериш масаласи,,,
,,,,,
,Бандлик бўлими бизга йўлланма юборган лекин қаердан кўришни билмаяпмиз. ,Ишга жойлашиш учун йўлланмалар масаласи,,,
,,,,,
,,,,,
,Бўш иш ўринлари тўғрисида маълумот/ҳисобот қандай берилади?,Бўш иш ўринлари бўйича отчет юбориш,,,
,"Бўш иш ўринлари тўғрисида маълумот/ҳисобот юбориб бўлмаяпти, ""Мажбурий қаторларни тўлдиринг"" деган ёзув чиқаяпти",,,,
,,,,,
,Бахтсиз ҳодисаларни ҳисобга олиш тартиби қандай?,Бахтсиз ҳодисаларни киритиш масалалари,,,
,Бахтсиз ҳодисаларни киритиш мажбурийми?,,,,
,,,,,
,"Ташкилотимиз ёпилаяпти/қисқариш бўлаяпти, ходимларни бўшатилиши бўйича отчетни қандай бериш мумкин? ",Ходимларни бўшатилиши бўйича отчет масаласи,,,
,,,,,
,Ходимнинг меҳнатга лаёқатсизлик варақаси/больничный бўйича маълумотларни қандай шакллантириш керак?,Меҳнатга лаёқатсизлик варақаси/больничный масалалари,,,
,"Ходимнинг меҳнатга лаёқатсизлик варақаси/больничныйни ташхиси/диагнози чиқмаяпти, нима қилиш керак.",,,,
,,,,,
,"Ходимимиз ЯММТга киритилган лекин давлат томонидан ҳомиладорлик ва туғиш нафақасини тайинланмапти, кимга мурожаат қилиш керак?",Ҳомиладорлик ва туғиш нафақаси,,,
,Давлат томонидан белгиланган ҳомиладорлик ва туғиш нафақаси давлат ташкилотлари ходимларига хам бериладими?,,,,
,Ҳомиладорлик ва туғиш нафақаси пули қанча вақт ичида ходимга тўлаб берилади?,,,,
,,,,,
,Ходимни меҳнат дафтарчасидан кўчирма олиш мумкинми?,Меҳнат дафтарчасидан кўчирма олиш,,,
,Меҳнат шартномаси бекор қилинган (ишдан бўшатилган) ходимни меҳнат дафтарчасидан кўчирма олиш мумкинми?,,,,
,"Янги олинаетган ходим қайси жойларда ишга олинганини билмайди, қандай текшириш мумкин?",,,,
,,,,,
,"Ташкилотимиз ёпик турдаги ЭРИ калитини ишлатади, тизимга ушбу токен-калити орқали кириш мумкинми?",Токен калит масаласи,,,
